,online_transaction_flg,code,category,transaction_amt,day_of_week,time_of_day,customer_id,day_time
68,offline,5921,Супермаркеты,200,2,День,16850,Вторник День
69,online,7512,Аренда авто,1000,2,День,16850,Вторник День
70,online,7512,Аренда авто,400,2,Вечер,16850,Вторник Вечер
71,offline,4111,Транспорт,100,2,Утро,16850,Вторник Утро
72,offline,5814,Фаст Фуд,300,2,Вечер,16850,Вторник Вечер
73,offline,5411,Супермаркеты,60,2,Вечер,16850,Вторник Вечер
74,offline,5814,Фаст Фуд,100,2,Утро,16850,Вторник Утро
75,offline,5411,Супермаркеты,100,2,День,16850,Вторник День
76,offline,5411,Супермаркеты,100,2,День,16850,Вторник День
77,offline,5411,Супермаркеты,300,2,Ночь,16850,Вторник Ночь
78,offline,5211,Дом/Ремонт,100,3,Утро,16850,Среда Утро
79,offline,5211,Дом/Ремонт,400,3,День,16850,Среда День
80,online,7311,Сервисные услуги,500,3,Утро,16850,Среда Утро
81,offline,5200,Дом/Ремонт,900,3,Утро,16850,Среда Утро
82,online,7512,Аренда авто,600,3,Утро,16850,Среда Утро
83,online,7999,Развлечения,90,3,Утро,16850,Среда Утро
84,offline,5921,Супермаркеты,100,3,Вечер,16850,Среда Вечер
85,offline,5921,Супермаркеты,100,3,День,16850,Среда День
86,offline,5411,Супермаркеты,60,3,Утро,16850,Среда Утро
87,offline,5814,Фаст Фуд,100,3,День,16850,Среда День
88,offline,5814,Фаст Фуд,500,3,День,16850,Среда День
89,online,7999,Развлечения,70,4,День,16850,Четверг День
90,online,7311,Сервисные услуги,200,4,Утро,16850,Четверг Утро
91,online,7311,Сервисные услуги,100,4,Утро,16850,Четверг Утро
92,online,7512,Аренда авто,300,4,Вечер,16850,Четверг Вечер
93,online,7512,Аренда авто,400,4,Вечер,16850,Четверг Вечер
94,online,7512,Аренда авто,400,4,Утро,16850,Четверг Утро
95,offline,5499,Супермаркеты,200,4,Вечер,16850,Четверг Вечер
96,offline,4111,Транспорт,100,4,День,16850,Четверг День
97,offline,5411,Супермаркеты,800,4,День,16850,Четверг День
98,offline,5814,Фаст Фуд,50,4,День,16850,Четверг День
99,offline,5411,Супермаркеты,100,4,Вечер,16850,Четверг Вечер
100,online,7311,Сервисные услуги,500,5,Утро,16850,Пятница Утро
101,online,7512,Аренда авто,50,5,Ночь,16850,Пятница Ночь
102,online,7311,Сервисные услуги,200,5,Утро,16850,Пятница Утро
103,online,7512,Аренда авто,50,5,Ночь,16850,Пятница Ночь
104,online,7512,Аренда авто,200,5,Ночь,16850,Пятница Ночь
105,online,7512,Аренда авто,200,5,Ночь,16850,Пятница Ночь
106,online,7512,Аренда авто,200,5,Вечер,16850,Пятница Вечер
107,online,7512,Аренда авто,60,5,Вечер,16850,Пятница Вечер
108,offline,5411,Супермаркеты,300,5,Вечер,16850,Пятница Вечер
109,offline,5211,Дом/Ремонт,400,6,День,16850,Суббота День
110,offline,5200,Дом/Ремонт,300,6,День,16850,Суббота День
111,online,7512,Аренда авто,90,6,Утро,16850,Суббота Утро
112,online,7512,Аренда авто,40,6,Вечер,16850,Суббота Вечер
113,online,7512,Аренда авто,100,6,Вечер,16850,Суббота Вечер
114,offline,5411,Супермаркеты,400,6,Вечер,16850,Суббота Вечер
115,online,7512,Аренда авто,100,7,Утро,16850,Воскресенье Утро
116,online,7512,Аренда авто,1,7,День,16850,Воскресенье День
117,online,7512,Аренда авто,300,7,День,16850,Воскресенье День
118,online,7512,Аренда авто,200,7,Вечер,16850,Воскресенье Вечер
119,offline,5993,Разные товары,300,7,Вечер,16850,Воскресенье Вечер
120,online,7512,Аренда авто,400,7,Вечер,16850,Воскресенье Вечер
121,offline,5921,Супермаркеты,60,7,Вечер,16850,Воскресенье Вечер
122,online,4121,Транспорт,100,7,Утро,16850,Воскресенье Утро
123,offline,5411,Супермаркеты,40,7,Утро,16850,Воскресенье Утро
124,offline,5814,Фаст Фуд,300,7,Вечер,16850,Воскресенье Вечер
125,online,5411,Супермаркеты,4100,2,День,21038,Вторник День
126,offline,5814,Фаст Фуд,200,3,Вечер,21038,Среда Вечер
127,offline,5814,Фаст Фуд,900,3,Вечер,21038,Среда Вечер
128,offline,5411,Супермаркеты,1600,3,Вечер,21038,Среда Вечер
129,offline,4111,Транспорт,40,4,Вечер,21038,Четверг Вечер
130,online,5814,Фаст Фуд,1000,4,Вечер,21038,Четверг Вечер
131,offline,5499,Супермаркеты,300,5,Вечер,21038,Пятница Вечер
132,offline,5814,Фаст Фуд,200,5,Вечер,21038,Пятница Вечер
133,online,5411,Супермаркеты,2800,5,День,21038,Пятница День
134,offline,5941,Спорттовары,200,6,День,21038,Суббота День
135,offline,5814,Фаст Фуд,400,6,Вечер,21038,Суббота Вечер
136,offline,5814,Фаст Фуд,300,6,День,21038,Суббота День
137,online,5947,Сувениры,10000,7,Вечер,21038,Воскресенье Вечер
138,offline,5814,Фаст Фуд,100,7,Вечер,21038,Воскресенье Вечер
139,offline,5814,Фаст Фуд,900,7,День,21038,Воскресенье День
140,online,5814,Фаст Фуд,1500,7,Вечер,21038,Воскресенье Вечер
141,offline,7230,Красота,10000,1,Вечер,29299,Понедельник Вечер
142,online,7841,Кино,500,1,Вечер,29299,Понедельник Вечер
143,offline,5411,Супермаркеты,500,1,Ночь,29299,Понедельник Ночь
144,online,5814,Фаст Фуд,1500,2,День,29299,Вторник День
145,offline,9402,Госсборы,100,3,Вечер,29299,Среда Вечер
146,offline,4111,Транспорт,40,3,День,29299,Среда День
147,offline,5411,Супермаркеты,900,3,День,29299,Среда День
148,offline,5411,Супермаркеты,200,4,Вечер,29299,Четверг Вечер
149,offline,5813,Рестораны,600,4,День,29299,Четверг День
150,offline,4111,Транспорт,40,4,Вечер,29299,Четверг Вечер
151,online,4121,Транспорт,500,4,Утро,29299,Четверг Утро
152,offline,5411,Супермаркеты,1100,4,Вечер,29299,Четверг Вечер
153,offline,5411,Супермаркеты,600,4,Вечер,29299,Четверг Вечер
154,offline,5814,Фаст Фуд,400,4,Утро,29299,Четверг Утро
155,online,5411,Супермаркеты,3000,4,Вечер,29299,Четверг Вечер
156,online,5411,Супермаркеты,2000,5,Вечер,29299,Пятница Вечер
157,online,5814,Фаст Фуд,900,5,Вечер,29299,Пятница Вечер
158,online,4121,Транспорт,300,6,Утро,29299,Суббота Утро
159,online,4121,Транспорт,200,6,Вечер,29299,Суббота Вечер
160,offline,5814,Фаст Фуд,300,6,Вечер,29299,Суббота Вечер
161,online,7349,Сервисные услуги,1400,7,День,29299,Воскресенье День
162,offline,5462,Супермаркеты,100,3,Утро,29717,Среда Утро
163,offline,5814,Фаст Фуд,100,4,День,29717,Четверг День
164,offline,5411,Супермаркеты,100,6,Вечер,29717,Суббота Вечер
165,offline,5499,Супермаркеты,200,2,Вечер,34609,Вторник Вечер
166,online,3423,Аренда авто,100,3,Ночь,34609,Среда Ночь
167,online,7997,Развлечения,2100,7,День,34609,Воскресенье День
168,online,5411,Супермаркеты,1200,7,Утро,34609,Воскресенье Утро
169,offline,5912,Аптеки,100,1,День,36634,Понедельник День
170,offline,5541,Топливо,4700,1,День,36634,Понедельник День
171,offline,5311,Разные товары,600,1,День,36634,Понедельник День
172,offline,5411,Супермаркеты,500,1,Утро,36634,Понедельник Утро
173,offline,5541,Топливо,1000,2,День,36634,Вторник День
174,offline,5541,Топливо,1000,2,День,36634,Вторник День
175,offline,5541,Топливо,100,2,День,36634,Вторник День
176,online,4121,Транспорт,700,2,День,36634,Вторник День
177,offline,4784,Транспорт,200,2,День,36634,Вторник День
178,offline,5814,Фаст Фуд,300,2,Утро,36634,Вторник Утро
179,offline,5411,Супермаркеты,500,2,Вечер,36634,Вторник Вечер
180,offline,7523,Транспорт,100,3,Утро,36634,Среда Утро
181,offline,5921,Супермаркеты,800,3,День,36634,Среда День
182,offline,5542,Топливо,2500,3,День,36634,Среда День
183,offline,5912,Аптеки,1000,3,День,36634,Среда День
184,offline,5814,Фаст Фуд,100,3,День,36634,Среда День
185,online,9311,Госсборы,1200,4,День,36634,Четверг День
186,offline,8021,Медицинские услуги,1400,4,Вечер,36634,Четверг Вечер
187,offline,8021,Медицинские услуги,200,4,Вечер,36634,Четверг Вечер
188,offline,5912,Аптеки,900,4,День,36634,Четверг День
189,offline,5912,Аптеки,1900,4,Вечер,36634,Четверг Вечер
190,offline,5812,Рестораны,700,4,Вечер,36634,Четверг Вечер
191,offline,5814,Фаст Фуд,300,4,День,36634,Четверг День
192,offline,5814,Фаст Фуд,300,5,Утро,36634,Пятница Утро
193,offline,5411,Супермаркеты,100,5,Вечер,36634,Пятница Вечер
194,offline,3429,Аренда авто,70,6,Вечер,36634,Суббота Вечер
195,online,4121,Транспорт,400,6,Вечер,36634,Суббота Вечер
196,online,4121,Транспорт,700,6,День,36634,Суббота День
197,offline,5411,Супермаркеты,1300,6,Вечер,36634,Суббота Вечер
198,offline,5411,Супермаркеты,100,6,Утро,36634,Суббота Утро
199,online,4112,Ж/д билеты,5300,7,Утро,36634,Воскресенье Утро
200,online,4112,Ж/д билеты,3200,7,День,36634,Воскресенье День
201,offline,5912,Аптеки,3000,7,Вечер,36634,Воскресенье Вечер
202,online,9399,Госсборы,500,7,Вечер,36634,Воскресенье Вечер
203,offline,5411,Супермаркеты,300,7,Вечер,36634,Воскресенье Вечер
204,offline,5411,Супермаркеты,500,7,Вечер,36634,Воскресенье Вечер
205,offline,5912,Аптеки,400,2,День,46939,Вторник День
206,online,4121,Транспорт,600,2,Ночь,46939,Вторник Ночь
207,online,5411,Супермаркеты,400,2,Вечер,46939,Вторник Вечер
208,offline,5411,Супермаркеты,80,2,Ночь,46939,Вторник Ночь
209,offline,5814,Фаст Фуд,90,3,Вечер,46939,Среда Вечер
210,offline,5814,Фаст Фуд,1300,3,Вечер,46939,Среда Вечер
211,offline,4111,Транспорт,40,3,Вечер,46939,Среда Вечер
212,offline,5411,Супермаркеты,500,3,День,46939,Среда День
213,online,3423,Аренда авто,200,4,Вечер,46939,Четверг Вечер
214,offline,5499,Супермаркеты,60,4,Вечер,46939,Четверг Вечер
215,offline,5411,Супермаркеты,1200,4,День,46939,Четверг День
216,offline,5921,Супермаркеты,500,5,Вечер,46939,Пятница Вечер
217,offline,5993,Разные товары,100,5,Вечер,46939,Пятница Вечер
218,offline,4111,Транспорт,1000,5,Вечер,46939,Пятница Вечер
219,offline,5411,Супермаркеты,1000,5,Вечер,46939,Пятница Вечер
220,offline,5814,Фаст Фуд,900,5,Вечер,46939,Пятница Вечер
221,offline,5814,Фаст Фуд,200,5,День,46939,Пятница День
222,offline,3423,Аренда авто,100,6,Утро,46939,Суббота Утро
223,offline,7997,Развлечения,800,6,День,46939,Суббота День
224,offline,7832,Кино,1600,6,День,46939,Суббота День
225,offline,5712,Дом/Ремонт,400,6,Вечер,46939,Суббота Вечер
226,offline,5499,Супермаркеты,70,6,Вечер,46939,Суббота Вечер
227,offline,5499,Супермаркеты,70,6,Вечер,46939,Суббота Вечер
228,offline,5814,Фаст Фуд,100,6,День,46939,Суббота День
229,offline,5814,Фаст Фуд,300,6,День,46939,Суббота День
230,offline,5814,Фаст Фуд,1000,6,День,46939,Суббота День
231,offline,5411,Супермаркеты,1900,6,Вечер,46939,Суббота Вечер
232,online,3423,Аренда авто,600,7,Утро,46939,Воскресенье Утро
233,offline,5411,Супермаркеты,600,7,День,46939,Воскресенье День
234,online,5814,Фаст Фуд,100,7,Вечер,46939,Воскресенье Вечер
235,offline,5814,Фаст Фуд,2100,7,Вечер,46939,Воскресенье Вечер
236,online,9399,Госсборы,800,1,Утро,53537,Понедельник Утро
237,offline,5912,Аптеки,40,1,Вечер,53537,Понедельник Вечер
238,offline,5651,Одежда/Обувь,5700,1,Вечер,53537,Понедельник Вечер
239,offline,5411,Супермаркеты,600,1,Вечер,53537,Понедельник Вечер
240,offline,5411,Супермаркеты,1100,1,День,53537,Понедельник День
241,online,8299,Образование,700,1,Ночь,53537,Понедельник Ночь
242,offline,5411,Супермаркеты,100,1,Утро,53537,Понедельник Утро
243,online,4111,Транспорт,500,2,Вечер,53537,Вторник Вечер
244,online,3429,Аренда авто,300,2,Вечер,53537,Вторник Вечер
245,offline,5411,Супермаркеты,500,2,Вечер,53537,Вторник Вечер
246,offline,5411,Супермаркеты,600,2,Вечер,53537,Вторник Вечер
247,offline,5651,Одежда/Обувь,3300,3,День,53537,Среда День
248,offline,5541,Топливо,1000,3,Утро,53537,Среда Утро
249,offline,5499,Супермаркеты,100,3,Утро,53537,Среда Утро
250,online,5411,Супермаркеты,2600,3,Утро,53537,Среда Утро
251,offline,8661,НКО,400,3,Утро,53537,Среда Утро
252,offline,5411,Супермаркеты,1600,3,Утро,53537,Среда Утро
253,offline,5411,Супермаркеты,1500,3,Утро,53537,Среда Утро
254,offline,5311,Разные товары,80,4,День,53537,Четверг День
255,online,7922,Развлечения,3800,4,Вечер,53537,Четверг Вечер
256,online,7922,Развлечения,5000,4,Утро,53537,Четверг Утро
257,offline,5912,Аптеки,2000,4,Утро,53537,Четверг Утро
258,offline,5411,Супермаркеты,100,4,Утро,53537,Четверг Утро
259,offline,5814,Фаст Фуд,400,4,День,53537,Четверг День
260,offline,5812,Рестораны,300,5,День,53537,Пятница День
261,online,5811,Рестораны,900,6,Вечер,53537,Суббота Вечер
262,offline,5651,Одежда/Обувь,7900,6,День,53537,Суббота День
263,offline,5411,Супермаркеты,300,6,День,53537,Суббота День
264,offline,5411,Супермаркеты,200,7,Утро,53537,Воскресенье Утро
265,offline,5814,Фаст Фуд,600,7,День,53537,Воскресенье День
266,offline,5411,Супермаркеты,2600,7,День,53537,Воскресенье День
267,online,7512,Аренда авто,100,1,Ночь,63268,Понедельник Ночь
268,online,7512,Аренда авто,300,1,Ночь,63268,Понедельник Ночь
269,online,7512,Аренда авто,300,1,Ночь,63268,Понедельник Ночь
270,online,7512,Аренда авто,300,1,Ночь,63268,Понедельник Ночь
271,offline,5499,Супермаркеты,800,1,Ночь,63268,Понедельник Ночь
272,online,3423,Аренда авто,900,2,Утро,63268,Вторник Утро
273,offline,5411,Супермаркеты,100,2,День,63268,Вторник День
274,offline,5411,Супермаркеты,300,4,Вечер,63268,Четверг Вечер
275,offline,5411,Супермаркеты,1400,4,Вечер,63268,Четверг Вечер
276,offline,5411,Супермаркеты,1000,4,День,63268,Четверг День
277,offline,5993,Разные товары,80,5,Вечер,63268,Пятница Вечер
278,online,7512,Аренда авто,10,5,Утро,63268,Пятница Утро
279,offline,5499,Супермаркеты,200,5,Утро,63268,Пятница Утро
280,offline,5814,Фаст Фуд,100,5,День,63268,Пятница День
281,online,7512,Аренда авто,300,5,Утро,63268,Пятница Утро
282,online,7999,Развлечения,100,6,Ночь,63268,Суббота Ночь
283,offline,5411,Супермаркеты,500,6,Вечер,63268,Суббота Вечер
284,offline,5411,Супермаркеты,300,6,Вечер,63268,Суббота Вечер
285,offline,5411,Супермаркеты,200,6,День,63268,Суббота День
286,offline,5499,Супермаркеты,2400,7,Ночь,63268,Воскресенье Ночь
287,offline,5411,Супермаркеты,900,7,Вечер,63268,Воскресенье Вечер
288,offline,5912,Аптеки,1000,7,День,63268,Воскресенье День
289,offline,5411,Супермаркеты,100,7,День,63268,Воскресенье День
290,offline,5411,Супермаркеты,1200,7,День,63268,Воскресенье День
291,offline,7997,Развлечения,4800,1,Вечер,69484,Понедельник Вечер
292,offline,5814,Фаст Фуд,100,1,Утро,69484,Понедельник Утро
293,offline,5411,Супермаркеты,200,1,Вечер,69484,Понедельник Вечер
294,offline,5814,Фаст Фуд,100,1,День,69484,Понедельник День
295,offline,5814,Фаст Фуд,300,1,День,69484,Понедельник День
296,offline,5977,Красота,7000,1,День,69484,Понедельник День
297,offline,5814,Фаст Фуд,100,2,Утро,69484,Вторник Утро
298,offline,5814,Фаст Фуд,200,2,День,69484,Вторник День
299,offline,5411,Супермаркеты,90,2,Вечер,69484,Вторник Вечер
300,offline,5814,Фаст Фуд,100,2,Вечер,69484,Вторник Вечер
301,offline,5411,Супермаркеты,100,2,День,69484,Вторник День
302,offline,5814,Фаст Фуд,1200,2,Вечер,69484,Вторник Вечер
303,offline,5814,Фаст Фуд,100,2,Утро,69484,Вторник Утро
304,offline,5814,Фаст Фуд,100,2,День,69484,Вторник День
305,offline,5814,Фаст Фуд,100,3,Утро,69484,Среда Утро
306,offline,5814,Фаст Фуд,100,3,День,69484,Среда День
307,offline,5814,Фаст Фуд,100,3,День,69484,Среда День
308,offline,5411,Супермаркеты,100,3,Утро,69484,Среда Утро
309,offline,5814,Фаст Фуд,200,3,Вечер,69484,Среда Вечер
310,offline,5814,Фаст Фуд,100,4,День,69484,Четверг День
311,offline,5814,Фаст Фуд,100,4,Утро,69484,Четверг Утро
312,offline,5814,Фаст Фуд,70,4,День,69484,Четверг День
313,offline,5814,Фаст Фуд,100,4,Утро,69484,Четверг Утро
314,offline,5814,Фаст Фуд,40,4,Вечер,69484,Четверг Вечер
315,offline,5651,Одежда/Обувь,600,5,Утро,69484,Пятница Утро
316,online,9399,Госсборы,500,5,Утро,69484,Пятница Утро
317,offline,5814,Фаст Фуд,100,5,Утро,69484,Пятница Утро
318,offline,5814,Фаст Фуд,200,5,День,69484,Пятница День
319,offline,5814,Фаст Фуд,70,5,Утро,69484,Пятница Утро
320,offline,5814,Фаст Фуд,200,5,День,69484,Пятница День
321,offline,5814,Фаст Фуд,100,5,Утро,69484,Пятница Утро
322,offline,5814,Фаст Фуд,100,5,День,69484,Пятница День
323,offline,7832,Кино,1100,6,Вечер,69484,Суббота Вечер
324,offline,5999,Разные товары,2700,6,Вечер,69484,Суббота Вечер
325,online,7997,Развлечения,1300,6,Утро,69484,Суббота Утро
326,online,4722,Турагентства,800,6,Вечер,69484,Суббота Вечер
327,online,8220,Образование,6900,6,Утро,69484,Суббота Утро
328,offline,5948,Разные товары,1800,6,Вечер,69484,Суббота Вечер
329,offline,5942,Книги,600,6,Вечер,69484,Суббота Вечер
330,online,7922,Развлечения,800,6,День,69484,Суббота День
331,offline,5977,Красота,1500,6,Вечер,69484,Суббота Вечер
332,offline,5631,Одежда/Обувь,8700,6,Вечер,69484,Суббота Вечер
333,offline,5814,Фаст Фуд,2300,6,Вечер,69484,Суббота Вечер
334,offline,5814,Фаст Фуд,100,6,Вечер,69484,Суббота Вечер
335,offline,5651,Одежда/Обувь,900,7,Вечер,69484,Воскресенье Вечер
336,offline,5977,Красота,900,7,День,69484,Воскресенье День
337,offline,5814,Фаст Фуд,1400,7,День,69484,Воскресенье День
338,offline,5814,Фаст Фуд,1400,7,Вечер,69484,Воскресенье Вечер
339,offline,5814,Фаст Фуд,30,7,Вечер,69484,Воскресенье Вечер
340,offline,5814,Фаст Фуд,200,2,День,76086,Вторник День
341,online,4121,Транспорт,1000,2,Вечер,76086,Вторник Вечер
342,online,4121,Транспорт,1200,3,Вечер,76086,Среда Вечер
343,offline,5814,Фаст Фуд,200,3,День,76086,Среда День
344,online,4121,Транспорт,2400,3,Ночь,76086,Среда Ночь
345,online,5411,Супермаркеты,1300,3,Ночь,76086,Среда Ночь
346,online,5964,Сервисные услуги,3100,4,Вечер,76086,Четверг Вечер
347,offline,5499,Супермаркеты,1600,4,День,76086,Четверг День
348,online,4121,Транспорт,100,4,День,76086,Четверг День
349,online,4121,Транспорт,100,4,День,76086,Четверг День
350,online,4121,Транспорт,100,4,Ночь,76086,Четверг Ночь
351,offline,5814,Фаст Фуд,600,4,Утро,76086,Четверг Утро
352,online,4121,Транспорт,100,5,Ночь,76086,Пятница Ночь
353,online,4121,Транспорт,200,5,День,76086,Пятница День
354,offline,5541,Топливо,3500,6,День,76086,Суббота День
355,offline,4111,Транспорт,100,6,Утро,76086,Суббота Утро
356,online,5814,Фаст Фуд,3000,6,Вечер,76086,Суббота Вечер
357,offline,5921,Супермаркеты,5900,6,Вечер,76086,Суббота Вечер
358,offline,5411,Супермаркеты,100,6,Вечер,76086,Суббота Вечер
359,offline,5411,Супермаркеты,100,6,Утро,76086,Суббота Утро
360,offline,5411,Супермаркеты,100,7,Вечер,76086,Воскресенье Вечер
361,offline,5814,Фаст Фуд,500,7,Вечер,76086,Воскресенье Вечер
362,online,9311,Госсборы,4300,1,Вечер,77184,Понедельник Вечер
363,offline,5411,Супермаркеты,100,1,День,77184,Понедельник День
364,offline,5814,Фаст Фуд,80,2,День,77184,Вторник День
365,offline,5814,Фаст Фуд,1200,2,Вечер,77184,Вторник Вечер
366,offline,5411,Супермаркеты,300,2,День,77184,Вторник День
367,online,5814,Фаст Фуд,200,3,День,77184,Среда День
368,offline,5411,Супермаркеты,300,3,Вечер,77184,Среда Вечер
369,offline,5814,Фаст Фуд,400,4,Вечер,77184,Четверг Вечер
370,offline,5814,Фаст Фуд,200,4,Вечер,77184,Четверг Вечер
371,offline,7832,Кино,1100,5,Вечер,77184,Пятница Вечер
372,offline,5411,Супермаркеты,300,6,День,77184,Суббота День
373,online,5732,Разные товары,1000,7,Ночь,77184,Воскресенье Ночь
374,offline,5411,Супермаркеты,10,7,День,77184,Воскресенье День
375,offline,5441,Супермаркеты,20,2,Утро,97066,Вторник Утро
376,offline,5441,Супермаркеты,50,5,Утро,97066,Пятница Утро
377,offline,5411,Супермаркеты,300,5,Утро,97066,Пятница Утро
378,offline,5541,Топливо,300,6,Утро,97066,Суббота Утро
379,offline,5814,Фаст Фуд,200,6,День,97066,Суббота День
380,offline,5814,Фаст Фуд,200,7,День,97066,Воскресенье День
381,offline,5993,Разные товары,300,1,Вечер,108656,Понедельник Вечер
382,offline,5411,Супермаркеты,1700,1,Вечер,108656,Понедельник Вечер
383,offline,5411,Супермаркеты,5,1,Вечер,108656,Понедельник Вечер
384,offline,5912,Аптеки,200,3,Вечер,108656,Среда Вечер
385,online,5964,Сервисные услуги,1000,3,День,108656,Среда День
386,offline,5311,Разные товары,900,4,День,108656,Четверг День
387,offline,5411,Супермаркеты,1100,4,Вечер,108656,Четверг Вечер
388,offline,5411,Супермаркеты,900,5,Утро,108656,Пятница Утро
389,offline,5814,Фаст Фуд,400,5,Вечер,108656,Пятница Вечер
390,online,5964,Сервисные услуги,100,6,Утро,108656,Суббота Утро
391,offline,5411,Супермаркеты,600,1,День,122927,Понедельник День
392,offline,5814,Фаст Фуд,300,1,Вечер,122927,Понедельник Вечер
393,offline,5944,Одежда/Обувь,900,1,Вечер,122927,Понедельник Вечер
394,offline,4111,Транспорт,100,2,День,122927,Вторник День
395,offline,5814,Фаст Фуд,200,2,День,122927,Вторник День
396,offline,5411,Супермаркеты,100,2,День,122927,Вторник День
397,offline,5411,Супермаркеты,100,3,День,122927,Среда День
398,offline,5411,Супермаркеты,100,3,Вечер,122927,Среда Вечер
399,offline,5411,Супермаркеты,400,3,День,122927,Среда День
400,offline,4111,Транспорт,90,4,День,122927,Четверг День
401,offline,5411,Супермаркеты,100,4,День,122927,Четверг День
402,offline,5814,Фаст Фуд,90,4,Вечер,122927,Четверг Вечер
403,offline,5814,Фаст Фуд,100,4,Вечер,122927,Четверг Вечер
