online_transaction_flg,code,category,transaction_amt,day_of_week,time_of_day,customer_id
0,5411,Супермаркеты,100,6,Вечер,13231
0,5411,Супермаркеты,100,6,Вечер,13231
0,5411,Супермаркеты,800,6,Вечер,13231
0,5661,Одежда/Обувь,13000,7,Вечер,13231
0,5661,Одежда/Обувь,13000,7,Вечер,13231
0,7523,Транспорт,100,7,Вечер,13231
0,7523,Транспорт,100,7,Вечер,13231
0,5814,Фаст Фуд,300,7,Вечер,13231
0,5814,Фаст Фуд,500,7,Вечер,13231
0,5814,Фаст Фуд,300,7,Вечер,13231
0,5814,Фаст Фуд,500,7,Вечер,13231
1,7512,Аренда авто,200,1,Вечер,16850
1,7512,Аренда авто,200,1,День,16850
1,7512,Аренда авто,100,1,Ночь,16850
1,7512,Аренда авто,200,1,Вечер,16850
0,5499,Супермаркеты,40,1,Вечер,16850
0,5411,Супермаркеты,100,1,Вечер,16850
1,7999,Развлечения,100,2,День,16850
1,7999,Развлечения,90,2,День,16850
1,7311,Сервисные услуги,200,2,Утро,16850
1,7311,Сервисные услуги,100,2,Утро,16850
0,5921,Супермаркеты,200,2,День,16850
1,7512,Аренда авто,1000,2,День,16850
1,7512,Аренда авто,400,2,Вечер,16850
0,4111,Транспорт,100,2,Утро,16850
0,5814,Фаст Фуд,300,2,Вечер,16850
0,5411,Супермаркеты,60,2,Вечер,16850
0,5814,Фаст Фуд,100,2,Утро,16850
0,5411,Супермаркеты,100,2,День,16850
0,5411,Супермаркеты,100,2,День,16850
0,5411,Супермаркеты,300,2,Ночь,16850
0,5211,Дом/Ремонт,100,3,Утро,16850
0,5211,Дом/Ремонт,400,3,День,16850
1,7311,Сервисные услуги,500,3,Утро,16850
0,5200,Дом/Ремонт,900,3,Утро,16850
1,7512,Аренда авто,600,3,Утро,16850
1,7999,Развлечения,90,3,Утро,16850
0,5921,Супермаркеты,100,3,Вечер,16850
0,5921,Супермаркеты,100,3,День,16850
0,5411,Супермаркеты,60,3,Утро,16850
0,5814,Фаст Фуд,100,3,День,16850
0,5814,Фаст Фуд,500,3,День,16850
1,7999,Развлечения,70,4,День,16850
1,7311,Сервисные услуги,200,4,Утро,16850
1,7311,Сервисные услуги,100,4,Утро,16850
1,7512,Аренда авто,300,4,Вечер,16850
1,7512,Аренда авто,400,4,Вечер,16850
1,7512,Аренда авто,400,4,Утро,16850
0,5499,Супермаркеты,200,4,Вечер,16850
0,4111,Транспорт,100,4,День,16850
0,5411,Супермаркеты,800,4,День,16850
0,5814,Фаст Фуд,50,4,День,16850
0,5411,Супермаркеты,100,4,Вечер,16850
1,7311,Сервисные услуги,500,5,Утро,16850
1,7512,Аренда авто,50,5,Ночь,16850
1,7311,Сервисные услуги,200,5,Утро,16850
1,7512,Аренда авто,50,5,Ночь,16850
1,7512,Аренда авто,200,5,Ночь,16850
1,7512,Аренда авто,200,5,Ночь,16850
1,7512,Аренда авто,200,5,Вечер,16850
1,7512,Аренда авто,60,5,Вечер,16850
0,5411,Супермаркеты,300,5,Вечер,16850
0,5211,Дом/Ремонт,400,6,День,16850
0,5200,Дом/Ремонт,300,6,День,16850
1,7512,Аренда авто,90,6,Утро,16850
1,7512,Аренда авто,40,6,Вечер,16850
1,7512,Аренда авто,100,6,Вечер,16850
0,5411,Супермаркеты,400,6,Вечер,16850
1,7512,Аренда авто,100,7,Утро,16850
1,7512,Аренда авто,1,7,День,16850
1,7512,Аренда авто,300,7,День,16850
1,7512,Аренда авто,200,7,Вечер,16850
0,5993,Разные товары,300,7,Вечер,16850
1,7512,Аренда авто,400,7,Вечер,16850
0,5921,Супермаркеты,60,7,Вечер,16850
1,4121,Транспорт,100,7,Утро,16850
0,5411,Супермаркеты,40,7,Утро,16850
0,5814,Фаст Фуд,300,7,Вечер,16850
1,5411,Супермаркеты,4100,2,День,21038
0,5814,Фаст Фуд,200,3,Вечер,21038
0,5814,Фаст Фуд,900,3,Вечер,21038
0,5411,Супермаркеты,1600,3,Вечер,21038
0,4111,Транспорт,40,4,Вечер,21038
1,5814,Фаст Фуд,1000,4,Вечер,21038
0,5499,Супермаркеты,300,5,Вечер,21038
0,5814,Фаст Фуд,200,5,Вечер,21038
1,5411,Супермаркеты,2800,5,День,21038
0,5941,Спорттовары,200,6,День,21038
0,5814,Фаст Фуд,400,6,Вечер,21038
0,5814,Фаст Фуд,300,6,День,21038
1,5947,Сувениры,10000,7,Вечер,21038
0,5814,Фаст Фуд,100,7,Вечер,21038
0,5814,Фаст Фуд,900,7,День,21038
1,5814,Фаст Фуд,1500,7,Вечер,21038
0,7230,Красота,10000,1,Вечер,29299
1,7841,Кино,500,1,Вечер,29299
0,5411,Супермаркеты,500,1,Ночь,29299
1,5814,Фаст Фуд,1500,2,День,29299
0,9402,Госсборы,100,3,Вечер,29299
0,4111,Транспорт,40,3,День,29299
0,5411,Супермаркеты,900,3,День,29299
0,5411,Супермаркеты,200,4,Вечер,29299
0,5813,Рестораны,600,4,День,29299
0,4111,Транспорт,40,4,Вечер,29299
1,4121,Транспорт,500,4,Утро,29299
0,5411,Супермаркеты,1100,4,Вечер,29299
0,5411,Супермаркеты,600,4,Вечер,29299
0,5814,Фаст Фуд,400,4,Утро,29299
1,5411,Супермаркеты,3000,4,Вечер,29299
1,5411,Супермаркеты,2000,5,Вечер,29299
1,5814,Фаст Фуд,900,5,Вечер,29299
1,4121,Транспорт,300,6,Утро,29299
1,4121,Транспорт,200,6,Вечер,29299
0,5814,Фаст Фуд,300,6,Вечер,29299
1,7349,Сервисные услуги,1400,7,День,29299
0,5462,Супермаркеты,100,3,Утро,29717
0,5814,Фаст Фуд,100,4,День,29717
0,5411,Супермаркеты,100,6,Вечер,29717
0,5499,Супермаркеты,200,2,Вечер,34609
1,3423,Аренда авто,100,3,Ночь,34609
1,7997,Развлечения,2100,7,День,34609
1,5411,Супермаркеты,1200,7,Утро,34609
0,5912,Аптеки,100,1,День,36634
0,5541,Топливо,4700,1,День,36634
0,5311,Разные товары,600,1,День,36634
0,5411,Супермаркеты,500,1,Утро,36634
0,5541,Топливо,1000,2,День,36634
0,5541,Топливо,1000,2,День,36634
0,5541,Топливо,100,2,День,36634
1,4121,Транспорт,700,2,День,36634
0,4784,Транспорт,200,2,День,36634
0,5814,Фаст Фуд,300,2,Утро,36634
0,5411,Супермаркеты,500,2,Вечер,36634
0,7523,Транспорт,100,3,Утро,36634
0,5921,Супермаркеты,800,3,День,36634
0,5542,Топливо,2500,3,День,36634
0,5912,Аптеки,1000,3,День,36634
0,5814,Фаст Фуд,100,3,День,36634
1,9311,Госсборы,1200,4,День,36634
0,8021,Медицинские услуги,1400,4,Вечер,36634
0,8021,Медицинские услуги,200,4,Вечер,36634
0,5912,Аптеки,900,4,День,36634
0,5912,Аптеки,1900,4,Вечер,36634
0,5812,Рестораны,700,4,Вечер,36634
0,5814,Фаст Фуд,300,4,День,36634
0,5814,Фаст Фуд,300,5,Утро,36634
0,5411,Супермаркеты,100,5,Вечер,36634
0,3429,Аренда авто,70,6,Вечер,36634
1,4121,Транспорт,400,6,Вечер,36634
1,4121,Транспорт,700,6,День,36634
0,5411,Супермаркеты,1300,6,Вечер,36634
0,5411,Супермаркеты,100,6,Утро,36634
1,4112,Ж/д билеты,5300,7,Утро,36634
1,4112,Ж/д билеты,3200,7,День,36634
0,5912,Аптеки,3000,7,Вечер,36634
1,9399,Госсборы,500,7,Вечер,36634
0,5411,Супермаркеты,300,7,Вечер,36634
0,5411,Супермаркеты,500,7,Вечер,36634
0,5912,Аптеки,400,2,День,46939
1,4121,Транспорт,600,2,Ночь,46939
1,5411,Супермаркеты,400,2,Вечер,46939
0,5411,Супермаркеты,80,2,Ночь,46939
0,5814,Фаст Фуд,90,3,Вечер,46939
0,5814,Фаст Фуд,1300,3,Вечер,46939
0,4111,Транспорт,40,3,Вечер,46939
0,5411,Супермаркеты,500,3,День,46939
1,3423,Аренда авто,200,4,Вечер,46939
0,5499,Супермаркеты,60,4,Вечер,46939
0,5411,Супермаркеты,1200,4,День,46939
0,5921,Супермаркеты,500,5,Вечер,46939
0,5993,Разные товары,100,5,Вечер,46939
0,4111,Транспорт,1000,5,Вечер,46939
0,5411,Супермаркеты,1000,5,Вечер,46939
0,5814,Фаст Фуд,900,5,Вечер,46939
0,5814,Фаст Фуд,200,5,День,46939
0,3423,Аренда авто,100,6,Утро,46939
0,7997,Развлечения,800,6,День,46939
0,7832,Кино,1600,6,День,46939
0,5712,Дом/Ремонт,400,6,Вечер,46939
0,5499,Супермаркеты,70,6,Вечер,46939
0,5499,Супермаркеты,70,6,Вечер,46939
0,5814,Фаст Фуд,100,6,День,46939
0,5814,Фаст Фуд,300,6,День,46939
0,5814,Фаст Фуд,1000,6,День,46939
0,5411,Супермаркеты,1900,6,Вечер,46939
1,3423,Аренда авто,600,7,Утро,46939
0,5411,Супермаркеты,600,7,День,46939
1,5814,Фаст Фуд,100,7,Вечер,46939
0,5814,Фаст Фуд,2100,7,Вечер,46939
1,9399,Госсборы,800,1,Утро,53537
0,5912,Аптеки,40,1,Вечер,53537
0,5651,Одежда/Обувь,5700,1,Вечер,53537
0,5411,Супермаркеты,600,1,Вечер,53537
0,5411,Супермаркеты,1100,1,День,53537
1,8299,Образование,700,1,Ночь,53537
0,5411,Супермаркеты,100,1,Утро,53537
1,4111,Транспорт,500,2,Вечер,53537
1,3429,Аренда авто,300,2,Вечер,53537
0,5411,Супермаркеты,500,2,Вечер,53537
0,5411,Супермаркеты,600,2,Вечер,53537
0,5651,Одежда/Обувь,3300,3,День,53537
0,5541,Топливо,1000,3,Утро,53537
0,5499,Супермаркеты,100,3,Утро,53537
1,5411,Супермаркеты,2600,3,Утро,53537
0,8661,НКО,400,3,Утро,53537
0,5411,Супермаркеты,1600,3,Утро,53537
0,5411,Супермаркеты,1500,3,Утро,53537
0,5311,Разные товары,80,4,День,53537
1,7922,Развлечения,3800,4,Вечер,53537
1,7922,Развлечения,5000,4,Утро,53537
0,5912,Аптеки,2000,4,Утро,53537
0,5411,Супермаркеты,100,4,Утро,53537
0,5814,Фаст Фуд,400,4,День,53537
0,5812,Рестораны,300,5,День,53537
1,5811,Рестораны,900,6,Вечер,53537
0,5651,Одежда/Обувь,7900,6,День,53537
0,5411,Супермаркеты,300,6,День,53537
0,5411,Супермаркеты,200,7,Утро,53537
0,5814,Фаст Фуд,600,7,День,53537
0,5411,Супермаркеты,2600,7,День,53537
1,7512,Аренда авто,100,1,Ночь,63268
1,7512,Аренда авто,300,1,Ночь,63268
1,7512,Аренда авто,300,1,Ночь,63268
1,7512,Аренда авто,300,1,Ночь,63268
0,5499,Супермаркеты,800,1,Ночь,63268
1,3423,Аренда авто,900,2,Утро,63268
0,5411,Супермаркеты,100,2,День,63268
0,5411,Супермаркеты,300,4,Вечер,63268
0,5411,Супермаркеты,1400,4,Вечер,63268
0,5411,Супермаркеты,1000,4,День,63268
0,5993,Разные товары,80,5,Вечер,63268
1,7512,Аренда авто,10,5,Утро,63268
0,5499,Супермаркеты,200,5,Утро,63268
0,5814,Фаст Фуд,100,5,День,63268
1,7512,Аренда авто,300,5,Утро,63268
1,7999,Развлечения,100,6,Ночь,63268
0,5411,Супермаркеты,500,6,Вечер,63268
0,5411,Супермаркеты,300,6,Вечер,63268
0,5411,Супермаркеты,200,6,День,63268
0,5499,Супермаркеты,2400,7,Ночь,63268
0,5411,Супермаркеты,900,7,Вечер,63268
0,5912,Аптеки,1000,7,День,63268
0,5411,Супермаркеты,100,7,День,63268
0,5411,Супермаркеты,1200,7,День,63268
0,7997,Развлечения,4800,1,Вечер,69484
0,5814,Фаст Фуд,100,1,Утро,69484
0,5411,Супермаркеты,200,1,Вечер,69484
0,5814,Фаст Фуд,100,1,День,69484
0,5814,Фаст Фуд,300,1,День,69484
0,5977,Красота,7000,1,День,69484
0,5814,Фаст Фуд,100,2,Утро,69484
0,5814,Фаст Фуд,200,2,День,69484
0,5411,Супермаркеты,90,2,Вечер,69484
0,5814,Фаст Фуд,100,2,Вечер,69484
0,5411,Супермаркеты,100,2,День,69484
0,5814,Фаст Фуд,1200,2,Вечер,69484
0,5814,Фаст Фуд,100,2,Утро,69484
0,5814,Фаст Фуд,100,2,День,69484
0,5814,Фаст Фуд,100,3,Утро,69484
0,5814,Фаст Фуд,100,3,День,69484
0,5814,Фаст Фуд,100,3,День,69484
0,5411,Супермаркеты,100,3,Утро,69484
0,5814,Фаст Фуд,200,3,Вечер,69484
0,5814,Фаст Фуд,100,4,День,69484
0,5814,Фаст Фуд,100,4,Утро,69484
0,5814,Фаст Фуд,70,4,День,69484
0,5814,Фаст Фуд,100,4,Утро,69484
0,5814,Фаст Фуд,40,4,Вечер,69484
0,5651,Одежда/Обувь,600,5,Утро,69484
1,9399,Госсборы,500,5,Утро,69484
0,5814,Фаст Фуд,100,5,Утро,69484
0,5814,Фаст Фуд,200,5,День,69484
0,5814,Фаст Фуд,70,5,Утро,69484
0,5814,Фаст Фуд,200,5,День,69484
0,5814,Фаст Фуд,100,5,Утро,69484
0,5814,Фаст Фуд,100,5,День,69484
0,7832,Кино,1100,6,Вечер,69484
0,5999,Разные товары,2700,6,Вечер,69484
1,7997,Развлечения,1300,6,Утро,69484
1,4722,Турагентства,800,6,Вечер,69484
1,8220,Образование,6900,6,Утро,69484
0,5948,Разные товары,1800,6,Вечер,69484
0,5942,Книги,600,6,Вечер,69484
1,7922,Развлечения,800,6,День,69484
0,5977,Красота,1500,6,Вечер,69484
0,5631,Одежда/Обувь,8700,6,Вечер,69484
0,5814,Фаст Фуд,2300,6,Вечер,69484
0,5814,Фаст Фуд,100,6,Вечер,69484
0,5651,Одежда/Обувь,900,7,Вечер,69484
0,5977,Красота,900,7,День,69484
0,5814,Фаст Фуд,1400,7,День,69484
0,5814,Фаст Фуд,1400,7,Вечер,69484
0,5814,Фаст Фуд,30,7,Вечер,69484
0,5814,Фаст Фуд,200,2,День,76086
1,4121,Транспорт,1000,2,Вечер,76086
1,4121,Транспорт,1200,3,Вечер,76086
0,5814,Фаст Фуд,200,3,День,76086
1,4121,Транспорт,2400,3,Ночь,76086
1,5411,Супермаркеты,1300,3,Ночь,76086
1,5964,Сервисные услуги,3100,4,Вечер,76086
0,5499,Супермаркеты,1600,4,День,76086
1,4121,Транспорт,100,4,День,76086
1,4121,Транспорт,100,4,День,76086
1,4121,Транспорт,100,4,Ночь,76086
0,5814,Фаст Фуд,600,4,Утро,76086
1,4121,Транспорт,100,5,Ночь,76086
1,4121,Транспорт,200,5,День,76086
0,5541,Топливо,3500,6,День,76086
0,4111,Транспорт,100,6,Утро,76086
1,5814,Фаст Фуд,3000,6,Вечер,76086
0,5921,Супермаркеты,5900,6,Вечер,76086
0,5411,Супермаркеты,100,6,Вечер,76086
0,5411,Супермаркеты,100,6,Утро,76086
0,5411,Супермаркеты,100,7,Вечер,76086
0,5814,Фаст Фуд,500,7,Вечер,76086
1,9311,Госсборы,4300,1,Вечер,77184
0,5411,Супермаркеты,100,1,День,77184
0,5814,Фаст Фуд,80,2,День,77184
0,5814,Фаст Фуд,1200,2,Вечер,77184
0,5411,Супермаркеты,300,2,День,77184
1,5814,Фаст Фуд,200,3,День,77184
0,5411,Супермаркеты,300,3,Вечер,77184
0,5814,Фаст Фуд,400,4,Вечер,77184
0,5814,Фаст Фуд,200,4,Вечер,77184
0,7832,Кино,1100,5,Вечер,77184
0,5411,Супермаркеты,300,6,День,77184
1,5732,Разные товары,1000,7,Ночь,77184
0,5411,Супермаркеты,10,7,День,77184
0,5441,Супермаркеты,20,2,Утро,97066
0,5441,Супермаркеты,50,5,Утро,97066
0,5411,Супермаркеты,300,5,Утро,97066
0,5541,Топливо,300,6,Утро,97066
0,5814,Фаст Фуд,200,6,День,97066
0,5814,Фаст Фуд,200,7,День,97066
0,5993,Разные товары,300,1,Вечер,108656
0,5411,Супермаркеты,1700,1,Вечер,108656
0,5411,Супермаркеты,5,1,Вечер,108656
0,5912,Аптеки,200,3,Вечер,108656
1,5964,Сервисные услуги,1000,3,День,108656
0,5311,Разные товары,900,4,День,108656
0,5411,Супермаркеты,1100,4,Вечер,108656
0,5411,Супермаркеты,900,5,Утро,108656
0,5814,Фаст Фуд,400,5,Вечер,108656
1,5964,Сервисные услуги,100,6,Утро,108656
0,5411,Супермаркеты,600,1,День,122927
0,5814,Фаст Фуд,300,1,Вечер,122927
0,5944,Одежда/Обувь,900,1,Вечер,122927
0,4111,Транспорт,100,2,День,122927
0,5814,Фаст Фуд,200,2,День,122927
0,5411,Супермаркеты,100,2,День,122927
0,5411,Супермаркеты,100,3,День,122927
0,5411,Супермаркеты,100,3,Вечер,122927
0,5411,Супермаркеты,400,3,День,122927
0,4111,Транспорт,90,4,День,122927
0,5411,Супермаркеты,100,4,День,122927
0,5814,Фаст Фуд,90,4,Вечер,122927
0,5814,Фаст Фуд,100,4,Вечер,122927
0,5411,Супермаркеты,100,5,Вечер,122927
0,4111,Транспорт,90,5,Вечер,122927
0,5411,Супермаркеты,300,5,День,122927
0,5411,Супермаркеты,100,5,Ночь,122927
0,4111,Транспорт,40,6,День,122927
0,5993,Разные товары,100,6,День,122927
0,5921,Супермаркеты,200,6,Вечер,122927
0,5411,Супермаркеты,100,6,День,122927
0,5411,Супермаркеты,100,6,Вечер,122927
0,4131,Транспорт,70,7,Утро,122927
0,5411,Супермаркеты,70,7,Утро,122927
0,5411,Супермаркеты,100,7,Вечер,122927
0,5411,Супермаркеты,200,7,Вечер,122927
0,5912,Аптеки,100,4,Утро,127726
0,5814,Фаст Фуд,400,5,День,127726
0,5411,Супермаркеты,800,6,Вечер,127726
0,5411,Супермаркеты,400,2,Вечер,128877
0,5411,Супермаркеты,100,2,Вечер,128877
0,5541,Топливо,100,3,Вечер,128877
0,5541,Топливо,900,3,Вечер,128877
0,5814,Фаст Фуд,100,3,Утро,128877
0,5411,Супермаркеты,50,3,День,128877
0,5411,Супермаркеты,100,3,Вечер,128877
0,5814,Фаст Фуд,100,4,Вечер,128877
0,5814,Фаст Фуд,400,4,День,128877
0,5814,Фаст Фуд,500,4,Вечер,128877
0,5814,Фаст Фуд,200,4,Вечер,128877
0,5814,Фаст Фуд,90,4,Утро,128877
0,5211,Дом/Ремонт,100,5,День,128877
0,7832,Кино,300,5,Вечер,128877
0,5499,Супермаркеты,100,5,Ночь,128877
0,5814,Фаст Фуд,50,5,Вечер,128877
0,5814,Фаст Фуд,600,5,День,128877
0,5814,Фаст Фуд,700,5,Вечер,128877
0,5541,Топливо,1600,6,Вечер,128877
0,5814,Фаст Фуд,300,6,День,128877
0,5814,Фаст Фуд,100,6,День,128877
0,5814,Фаст Фуд,100,6,Утро,128877
0,5814,Фаст Фуд,5,6,День,128877
0,5814,Фаст Фуд,90,6,Утро,128877
0,5411,Супермаркеты,30,6,День,128877
0,5411,Супермаркеты,50,6,Утро,128877
0,5211,Дом/Ремонт,100,7,Утро,128877
0,5814,Фаст Фуд,400,7,День,128877
0,5814,Фаст Фуд,400,7,Утро,128877
0,5411,Супермаркеты,70,7,День,128877
0,5411,Супермаркеты,50,2,День,130095
0,5921,Супермаркеты,100,4,День,130095
0,5999,Разные товары,600,2,Вечер,147852
1,5411,Супермаркеты,1200,2,Утро,147852
0,5942,Книги,200,2,Вечер,147852
0,5943,Разные товары,200,2,Вечер,147852
0,5814,Фаст Фуд,300,3,День,147852
1,4121,Транспорт,600,3,Ночь,147852
0,5812,Рестораны,300,4,День,147852
0,5814,Фаст Фуд,300,4,День,147852
1,5411,Супермаркеты,4200,4,Вечер,147852
0,5651,Одежда/Обувь,10000,4,Утро,147852
0,5814,Фаст Фуд,1900,4,Вечер,147852
1,5411,Супермаркеты,200,5,Утро,147852
0,5814,Фаст Фуд,300,5,День,147852
0,7523,Транспорт,100,6,Вечер,147852
0,5977,Красота,800,6,Вечер,147852
0,5945,Разные товары,70,6,Вечер,147852
0,5651,Одежда/Обувь,500,6,Вечер,147852
0,5814,Фаст Фуд,2900,6,Вечер,147852
0,5912,Аптеки,4900,6,День,147852
0,5691,Одежда/Обувь,23000,6,Вечер,147852
1,5411,Супермаркеты,1500,6,День,147852
0,5712,Дом/Ремонт,3300,7,Вечер,147852
0,5812,Рестораны,3300,7,Вечер,147852
0,5912,Аптеки,1700,1,Вечер,155371
0,5411,Супермаркеты,600,1,Вечер,155371
1,5411,Супермаркеты,400,1,День,155371
1,5411,Супермаркеты,200,1,Вечер,155371
0,5411,Супермаркеты,90,2,Утро,155371
1,5399,Разные товары,300,3,Вечер,155371
1,5411,Супермаркеты,1200,3,Утро,155371
0,5411,Супермаркеты,300,3,Вечер,155371
1,5411,Супермаркеты,100,3,Вечер,155371
0,5411,Супермаркеты,100,3,Утро,155371
0,5411,Супермаркеты,100,3,Вечер,155371
1,5411,Супермаркеты,500,4,День,155371
1,5399,Разные товары,300,4,Вечер,155371
1,9399,Госсборы,500,5,Ночь,155371
0,5411,Супермаркеты,200,5,Вечер,155371
0,5691,Одежда/Обувь,11000,6,Вечер,155371
1,5411,Супермаркеты,700,6,Утро,155371
0,9402,Госсборы,300,7,Вечер,155371
1,4121,Транспорт,200,7,День,155371
1,4121,Транспорт,200,7,Утро,155371
0,4111,Транспорт,100,1,День,223707
0,5411,Супермаркеты,300,1,Утро,223707
0,5945,Разные товары,700,2,Вечер,223707
1,4121,Транспорт,100,2,День,223707
1,4121,Транспорт,100,2,День,223707
0,5411,Супермаркеты,2000,2,Вечер,223707
0,5411,Супермаркеты,600,2,Утро,223707
0,4131,Транспорт,200,3,Утро,223707
0,5499,Супермаркеты,1500,3,Вечер,223707
0,5411,Супермаркеты,1100,3,Утро,223707
0,5411,Супермаркеты,1200,3,Вечер,223707
1,4121,Транспорт,100,4,Вечер,223707
0,5812,Рестораны,300,5,День,223707
0,5411,Супермаркеты,70,5,День,223707
0,4131,Транспорт,200,6,Утро,223707
0,5411,Супермаркеты,500,6,Утро,223707
0,5912,Аптеки,400,7,Вечер,223707
1,4121,Транспорт,300,7,День,223707
1,4121,Транспорт,1000,7,Утро,223707
0,5411,Супермаркеты,400,7,Вечер,223707
1,8299,Образование,13000,1,Вечер,224256
1,9399,Госсборы,200,1,Вечер,224256
0,5912,Аптеки,300,1,Ночь,224256
1,5734,Разные товары,100,1,Утро,224256
1,9399,Госсборы,200,1,Вечер,224256
0,4111,Транспорт,20,1,Вечер,224256
0,4111,Транспорт,50,2,Утро,224256
0,5912,Аптеки,2400,2,День,224256
0,4111,Транспорт,100,2,День,224256
0,5812,Рестораны,100,2,День,224256
0,4111,Транспорт,40,2,Вечер,224256
0,5814,Фаст Фуд,40,2,День,224256
0,5814,Фаст Фуд,800,2,Вечер,224256
0,5411,Супермаркеты,50,3,Вечер,224256
0,5814,Фаст Фуд,500,3,Вечер,224256
0,5411,Супермаркеты,100,3,Утро,224256
0,5912,Аптеки,800,4,Вечер,224256
0,5912,Аптеки,300,4,Вечер,224256
0,5814,Фаст Фуд,400,4,Вечер,224256
0,4111,Транспорт,5,5,Утро,224256
0,5411,Супермаркеты,200,5,День,224256
0,5411,Супермаркеты,600,5,Вечер,224256
0,4215,Сервисные услуги,800,6,День,224256
0,7832,Кино,300,7,Вечер,224256
0,7832,Кино,500,7,День,224256
1,5814,Фаст Фуд,900,7,Вечер,224256
1,4900,Дом/Ремонт,2300,1,День,228309
0,5814,Фаст Фуд,200,4,Вечер,228309
1,9399,Госсборы,20,4,Вечер,228309
1,5814,Фаст Фуд,800,5,Вечер,228309
1,3429,Аренда авто,1800,6,Вечер,228309
0,5921,Супермаркеты,200,7,Вечер,228309
1,5814,Фаст Фуд,700,7,Вечер,228309
0,5541,Топливо,100,2,Утро,229591
0,5411,Супермаркеты,300,2,День,229591
1,3431,Аренда авто,100,3,Утро,229591
0,5541,Топливо,100,3,Утро,229591
0,5411,Супермаркеты,300,5,День,229591
0,7542,Автоуслуги,100,6,Утро,229591
0,7542,Автоуслуги,50,6,Утро,229591
0,5411,Супермаркеты,400,6,Утро,229591
0,5542,Топливо,1400,7,День,229591
0,7542,Автоуслуги,100,7,Вечер,229591
0,5993,Разные товары,100,7,День,229591
0,5814,Фаст Фуд,300,7,Вечер,229591
0,5814,Фаст Фуд,600,7,День,229591
0,4111,Транспорт,40,1,Вечер,234507
0,5912,Аптеки,400,1,День,234507
1,4121,Транспорт,800,1,День,234507
0,5814,Фаст Фуд,1800,1,День,234507
1,9399,Госсборы,100,3,День,234507
0,5451,Супермаркеты,600,3,День,234507
0,5814,Фаст Фуд,200,3,День,234507
0,5814,Фаст Фуд,200,3,День,234507
1,5814,Фаст Фуд,800,3,Утро,234507
1,4121,Транспорт,600,4,День,234507
0,5651,Одежда/Обувь,2300,5,День,234507
0,5812,Рестораны,1300,5,День,234507
1,4121,Транспорт,400,5,Ночь,234507
0,7997,Развлечения,800,6,День,234507
1,4121,Транспорт,800,6,Ночь,234507
0,5499,Супермаркеты,700,6,Вечер,234507
0,5499,Супермаркеты,200,6,Вечер,234507
0,5411,Супермаркеты,1400,6,День,234507
1,5814,Фаст Фуд,900,6,Утро,234507
1,4121,Транспорт,1200,6,Вечер,234507
0,5411,Супермаркеты,500,1,Вечер,245057
0,4111,Транспорт,40,1,День,245057
0,4111,Транспорт,40,2,День,245057
1,5814,Фаст Фуд,1500,2,Утро,245057
1,4121,Транспорт,700,2,Утро,245057
0,4111,Транспорт,40,2,Ночь,245057
1,4121,Транспорт,60,2,Утро,245057
1,4121,Транспорт,900,2,День,245057
0,4111,Транспорт,40,3,День,245057
